"Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"abind","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.4-8",NA,"R (>= 1.5.0)","methods, utils",NA,NA,NA,"MIT + file LICENSE",NA,NA,NA,NA,"no","4.4.1"
"adabag","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","5.1",NA,"rpart, caret, foreach, doParallel, R (>= 4.0.0)","methods, tidyr, dplyr, ConsRank (>= 2.1.3)",NA,"mlbench",NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"additivityTests","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.1-4.2",NA,NA,NA,NA,"knitr",NA,"GPL-3",NA,NA,NA,NA,"no","4.4.1"
"ade4","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.7-23",NA,"R (>= 3.5.0)","graphics, grDevices, methods, stats, utils, MASS, pixmap, sp,
Rcpp","Rcpp, RcppArmadillo","ade4TkGUI, adegraphics, adephylo, adespatial, ape, CircStats,
deldir, lattice, spdep, splancs, waveslim, progress, foreach,
parallel, doParallel, iterators, knitr, rmarkdown",NA,"GPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"admisc","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.38",NA,"R (>= 3.5.0)","methods",NA,"QCA (>= 3.7)",NA,"GPL (>= 3)",NA,NA,NA,NA,"yes","4.4.1"
"affxparser","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.78.0",NA,"R (>= 2.14.0)",NA,NA,"R.oo (>= 1.22.0), R.utils (>= 2.7.0), AffymetrixDataTestFiles",NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"affy","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.84.0",NA,"R (>= 2.8.0), BiocGenerics (>= 0.1.12), Biobase (>= 2.5.5)","affyio (>= 1.13.3), BiocManager, graphics, grDevices, methods,
preprocessCore, stats, utils, zlibbioc","preprocessCore","tkWidgets (>= 1.19.0), affydata, widgetTools, hgu95av2cdf",NA,"LGPL (>= 2.0)",NA,NA,NA,NA,"yes","4.4.1"
"affyio","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.76.0",NA,"R (>= 2.6.0)","zlibbioc, methods",NA,NA,NA,"LGPL (>= 2)",NA,NA,NA,NA,"yes","4.4.1"
"agent","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.1.0",NA,NA,"rlang",NA,"testthat (>= 3.0.0)",NA,"What license is it under?",NA,NA,NA,NA,"no","4.4.0"
"agricolae","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.3-7",NA,"R (>= 2.10)","MASS, nlme, cluster, AlgDesign, graphics",NA,NA,NA,"GPL",NA,NA,NA,NA,"no","4.4.0"
"airway","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.26.0",NA,"R (>= 3.5.0), SummarizedExperiment",NA,NA,"knitr, GEOquery, markdown",NA,"LGPL",NA,NA,NA,NA,"no","4.4.0"
"akima","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","0.6-3.6",NA,"R (>= 2.0.0)","sp",NA,NA,"tripack","file LICENSE",NA,"yes",NA,NA,"yes","4.4.1"
"alabama","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","2023.1.0",NA,"R (>= 2.10.1), numDeriv",NA,NA,NA,NA,"GPL (>= 2)",NA,NA,NA,NA,"no","4.4.1"
"alabaster.base","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.1",NA,NA,"alabaster.schemas, methods, utils, S4Vectors, rhdf5 (>=
2.47.6), jsonlite, jsonvalidate, Rcpp","Rcpp, Rhdf5lib","BiocStyle, rmarkdown, knitr, testthat, digest, Matrix,
alabaster.matrix",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
"alabaster.matrix","/Library/Frameworks/R.framework/Versions/4.4-arm64/Resources/library","1.6.1",NA,"alabaster.base","methods, BiocGenerics, S4Vectors, DelayedArray (>= 0.31.8),
S4Arrays, SparseArray (>= 1.5.22), rhdf5 (>= 2.47.1),
HDF5Array, Matrix, Rcpp","Rcpp","testthat, knitr, BiocStyle, chihaya, BiocSingular,
ResidualMatrix",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.4.2"
