"Name","Series","Type","Source","Epigenomics","Genomics","Metabolomics","Microbiome","Multi-Omics","Pharmacogenomics","Proteomics","Single-cell","Spatial Omics","Transcriptomics","avg_total_score"
"Claude-Opus-4-Thinking","Claude","Reasoning","Closed",93.31034483,91.91588785,93.43809524,94.53968254,93.89440994,94.47058824,93.82758621,94.04210526,93.58823529,94.6091954,93.76361308
"OpenAI-O3","OpenAI","Reasoning","Closed",93.65934066,92.0877193,92.31730769,92.33823529,93.32142857,93.80952381,92.76086957,93.26804124,92.05940594,94.17045455,92.979232662
"Claude-Sonnet-4-Thinking","Claude","Reasoning","Closed",92.52173913,91.37735849,92.45544554,93.11594203,92.88607595,93.29411765,92.88888889,93.17777778,92.68686869,93.33333333,92.773754748
"Gemini-2.5-Pro","Google","Reasoning","Closed",93.3375,88.68316832,94.56521739,96.14035088,92.5530303,92.94444444,91.67532468,89.84,89.17391304,94.70666667,92.361961572
"Claude-Sonnet-3.7-Thinking","Claude","Reasoning","Closed",91.48648649,90.45263158,90.65116279,92.20689655,91.40601504,93.12121212,91.92307692,92.07407407,89.61363636,93.54285714,91.647804906
"DeepSeek-R1","DeepSeek","Reasoning","Open",92.12365591,90.83898305,91.30188679,92.41176471,92.23410405,92.16666667,92.04166667,91.42,89.38785047,91.94827586,91.587485418
"Kimi-K2-Instruct","Moonshot","General","Open",91.76136364,90.06896552,90.68807339,92.08955224,92.19298246,90.62162162,91.81521739,91.03,89.72631579,93.47560976,91.346970181
"Claude-Opus-4","Claude","General","Closed",89.88461538,90.03061224,87.88421053,93.70588235,90.89781022,93.77777778,90.6,93.02702703,89.05813953,91.98412698,91.085020204
"Gemini-2.5-Flash-Thinking","Google","Reasoning","Closed",92.51428571,88.93939394,90.47058824,92,90.76119403,92,92.04938272,91.18571429,86.69047619,92.390625,90.900166012
"GLM-4.5","ZHIPUAI","General","Open",91.77659574,88.45217391,90.20720721,90.33333333,90.70689655,91.45945946,92.16666667,89.85,89.93518519,91.81927711,90.670679517
"OpenAI-O4-Mini","OpenAI","Reasoning","Closed",91.10752688,89.83050847,90.34862385,89.75362319,90.40116279,92.33333333,91.125,90.88,89.95283019,90.91666667,90.664927537
"Claude-Sonnet-4","Claude","General","Closed",90.58666667,89.01030928,88.41758242,91.96226415,90.02158273,90.28571429,90.40277778,90.41558442,87.23809524,92.85074627,90.119132325
"GLM-4.5-X","ZHIPUAI","General","Closed",88.43956044,89.70093458,89.74757282,91.72463768,90.30128205,89.16216216,92.22105263,90.3960396,88.67592593,90.26388889,90.063305678
"Grok-3-Reasoning","xAI","Reasoning","Closed",90.10869565,88.12711864,89.39047619,90.74242424,91.06666667,89.82608696,89.95652174,90,88.80808081,90.44318182,89.846925272
"Gemini-2.0-Flash","Google","General","Closed",88.73404255,87.13559322,89,90.04411765,88.77325581,88.41666667,88.08333333,90.58585859,86.73584906,90.86206897,88.837078585
"OpenAI-O3-Mini","OpenAI","Reasoning","Closed",89.11956522,88.05172414,87.79464286,88.47761194,89.5952381,89.04166667,88.72916667,88.91919192,87.95327103,89.97619048,88.765826903
"OpenAI-GPT-4o","OpenAI","General","Closed",88.96774194,86.98305085,90.40178571,90.86956522,87.33526012,89.08333333,87.38541667,89.54455446,86.55555556,90.19318182,88.731944568
"OpenAI-O1","OpenAI","Reasoning","Closed",88.74193548,87.76923077,87.26126126,88.52941176,88.65269461,88.08333333,88.95789474,88.06060606,87.42056075,88.86206897,88.233899773
"DeepSeek-V3","DeepSeek","General","Open",91.93820225,90.26315789,86.05769231,81.01515152,69.75581395,91.85,91.01136364,92.20967742,90.79906542,93.15517241,87.805529681
"Grok-3","xAI","General","Closed",86.875,85.34188034,87.87037037,89.35820896,88.69565217,89.17391304,87.57142857,87.62626263,86.44230769,87.82954545,87.678456922
"OpenAI-O1-Mini","OpenAI","Reasoning","Closed",88.2,87.03448276,87.32142857,88.13846154,88.18181818,89.22727273,87.57142857,86.02970297,86.14150943,87.90697674,87.575308149
"GLM-4.5-Air","ZHIPUAI","General","Open",86.36842105,80.84482759,87.71171171,86.86956522,83.90804598,89.02702703,85.55789474,84.86868687,84.93518519,88.65060241,85.874196779
"GLM-4.5-AirX","ZHIPUAI","General","Closed",86.78947368,85.58119658,83.72072072,85.85507246,87.03977273,86.11111111,86.54166667,85.00990099,82.72222222,88.01204819,85.738318535
"GLM-4.5-Flash","ZHIPUAI","General","Closed",83.30985915,79.92372881,85.12162162,87.04347826,85.85795455,86.5,87,84.08333333,84.35849057,90.13793103,85.333639732
"Grok-2","xAI","General","Closed",88.51086957,76.79487179,84.45714286,89.69230769,82.38596491,85.68181818,84.20212766,89.40425532,82.2962963,89.19047619,85.261613047
"Claude-Sonnet-3.7","Claude","General","Closed",89.86666667,80.25233645,88.50943396,78.73333333,86.22839506,91.5,81,83.88571429,84.77419355,84.80232558,84.955239889
"Gemini-2.5-Flash-NoThinking","Google","General","Closed",90.541745,82.127629,82.592812,84.124263,83.161456,86.206237,87.437804,83.903759,80.504375,88.68981,84.928989
"GLM-4","ZHIPUAI","General","Closed",82.02197802,82.53153153,83.55660377,86.42105263,80.93333333,86.4,83.05434783,87.01010101,81.61386139,85.26136364,83.880417315
"Gemini-1.5-Pro","Google","General","Closed",81.19354839,81.56302521,83.27927928,86.53623188,82.60465116,82.69565217,85.6875,84.40206186,79.36448598,86.60227273,83.392870866
"Gemini-1.5-Flash","Google","General","Closed",83.12765957,80.5826087,84,83.02941176,81.25433526,82.91666667,85.05154639,86.06930693,81.40186916,85.98863636,83.34220408
"OpenAI-GPT-4","OpenAI","General","Closed",82.97894737,81.09322034,82.76785714,83.79411765,82.02857143,82.5,82.47916667,82.83168317,80.87735849,85.20454545,82.655546771
"Claude-Haiku-3.5","Claude","General","Closed",81.76842105,82.45614035,80.62162162,82.41176471,80.05747126,83.58333333,82.3125,83.5959596,79.41121495,84.02272727,82.024115414
"GLM-4-Air","ZHIPUAI","General","Closed",77.27058824,78.18018018,80.87254902,82.33962264,76.69375,78.03225806,78.26136364,84.22077922,77.32323232,81.35365854,79.454798186
"Qwen2.5-72B-Instruct","Qwen","General","Open",79.05617978,77.10434783,78.93902439,80.85294118,78.60119048,78.61111111,81.63636364,79.87777778,78.02173913,81.41860465,79.411927997
"Llama-4-Maverick-17B-128e-Instruct","Meta","General","Open",79.03191489,77.2605042,78.5,81.10144928,78.02840909,80.67567568,79.01030928,79.57425743,75.15740741,81.55681818,78.989674544
"Claude-Sonnet-3.5","Claude","General","Closed",77.4787234,76.06837607,78.46428571,80.36231884,74.17816092,80.95833333,80.3814433,78.47524752,75.85981308,81.96590909,78.419261126
"Claude-Opus-3","Claude","General","Closed",78.12631579,73.13675214,77.44954128,81.26086957,75.53757225,78.66666667,80.76041667,78.1,74.8317757,80.47727273,77.83471828
"Qwen2.5-Coder-32B-Instruct","Qwen","Coder","Open",76.76086957,74.85714286,74.83636364,78.04166667,75.5862069,77.91666667,77.5,74.24752475,74.8490566,79.40697674,76.40024744
"GLM-3-Turbo","ZHIPUAI","General","Closed",76.30851064,76.27826087,77.76744186,76.59701493,74.38235294,76.62162162,76.15463918,72.81609195,72.65979381,79.63095238,75.921668018
"Phi-4-14B","Microsoft","General","Open",76.77659574,71.67521368,76.41071429,75.21212121,73.85625,73.75,77.0625,76.03092784,69.875,79.4875,75.013682276
"Qwen2.5-32B-Instruct","Qwen","General","Open",70.04494382,70.94827586,69.55045872,72.53191489,69.28143713,71.625,71.38541667,70.18367347,64.40384615,73.8,70.375496671
"Qwen2.5-Coder-14B-Instruct","Qwen","Coder","Open",67.79775281,63.44347826,70.37962963,68.66176471,64.83832335,69.75,70.75531915,66.89795918,62.41,72.83529412,67.776952121
"Gemma2-27B","Google","General","Open",68.18604651,63.74336283,66.82407407,69.58208955,62.5,68.61904762,70.55319149,69.73737374,61.84693878,71.80722892,67.339935351
"Devstral-24B","Other","General","Open",63.07865169,65.10714286,66.51401869,70.74242424,64.65822785,72.40909091,67.02150538,66.4,63.07,68.51764706,66.751870868
"Qwen2.5-14B-Instruct","Qwen","General","Open",63.01190476,62.10714286,63.6509434,65.234375,59.46987952,68.58333333,60.72826087,58.37234043,56.30927835,64.41176471,62.187922323
"Llama-4-Scout-17B-16e-Instruct","Meta","General","Open",57.95294118,59.83962264,64.32407407,64.15873016,59.50595238,69.02702703,59.88172043,57.71,55.07692308,64.32183908,61.179883005
"Llama-3.1-70B","Meta","General","Open",57.89285714,57.26851852,61.29245283,61.9375,56.00628931,61.95652174,61.34444444,64.98888889,57.44791667,66.14814815,60.628353769
"Qwen2.5-Coder-7B-Instruct","Qwen","Coder","Open",52.28409091,54.43518519,63.3271028,56.68965517,55.04375,61.79166667,62.35227273,52.58585859,52.9893617,61.34567901,57.284462277
"Llama-3-70B","Meta","General","Open",50.0952381,54.73333333,58.73529412,59.93939394,53.67105263,60.04545455,56.18681319,55.93478261,52.33695652,60.29268293,56.197100192
"Yi-34B","01-AI","General","Open",56.30120482,53.66990291,56.44117647,56.65625,52.96732026,60.75,58.79761905,50.13636364,51.36842105,55.29487179,55.238312999
"CodeGeeX4-9B","ZHIPUAI","Coder","Open",50.02531646,54.10714286,55.34951456,56.63076923,52.7124183,59.65217391,54.6625,56.13953488,51.21,60,55.04893702
"Qwen2.5-7B-Instruct","Qwen","General","Open",48.32051282,55.07476636,56.45833333,58.21538462,50.58860759,55.85714286,61.72413793,55.54639175,48.3814433,59.77922078,54.994594134
"OpenCoder-8B","Other","Coder","Open",47.2875,49.15151515,49.32941176,54.28571429,50.37671233,58.7,51.68292683,59.23333333,51.05940594,61.90697674,53.301349637
"Codestral-22B","Mistral","Coder","Open",49.08860759,48.52747253,54.01020408,57.62903226,47.04615385,55.33333333,53.40243902,56.30337079,49.29787234,60.54545455,53.118394034
"DeepSeek-Coder-33B-Instruct","DeepSeek","Coder","Open",50.44155844,48.92079208,51.71276596,61.16666667,48.56291391,56.2173913,50.98795181,56.40425532,48.15584416,56.2875,52.885763965
"WizardCoder-33B","Other","Coder","Open",47.48101266,46.04255319,48.32989691,56.59016393,46.91489362,57.59090909,49.37837838,57.32894737,49.7826087,58.0625,51.750186385
"DeepCoder-14B","Other","Coder","Open",52.21505376,51.77391304,58.78703704,48,45.52325581,51.56521739,50.28888889,48.94444444,50.6625,53.08139535,51.084170572
"CodeBooga-34B","Other","Coder","Open",46.52941176,49.61682243,50.86138614,54.69642857,46.42857143,56.16666667,47.23170732,45.41304348,44.13265306,53.5,49.457669086
"DeepSeek-Coder-6.7B-Instruct","DeepSeek","Coder","Open",43.78481013,46.12871287,48.78217822,49.47457627,42.53947368,55.73684211,47.53571429,45.10416667,46.73626374,52.3875,47.821023798
"Gemma2-9B","Google","General","Open",43.49350649,45.35353535,52.51515152,53.50819672,46.15333333,40.40909091,48.68965517,48.21111111,43.28865979,50.55,47.217224039
"Yi-Coder-9B","01-AI","Coder","Open",45.57894737,47.40384615,47.73404255,50.13559322,43.35,52.38095238,46.5875,43.74418605,44.03225806,47.51948052,46.84668063
"Yi-9B","01-AI","General","Open",44.28378378,45.66,47.2020202,50.09259259,45.60264901,49.17391304,43.34177215,44.78082192,41.2173913,50.70666667,46.206161066
"Mixtral-8x7B","Mistral","General","Open",42.33333333,44.48039216,47.95744681,45.16129032,47.9,46.52380952,50.7311828,41.83146067,41.76344086,51.40789474,46.009025121
"Phind-CodeLlama-34B","Other","Coder","Open",41.05405405,42.64,49.31914894,50.83928571,42.5890411,50.4,48.5,44.91304348,40.55319149,48.91891892,45.972668369
"Llama-3.1-8B","Meta","General","Open",44.30379747,46.60638298,46.39393939,46.03125,41.96503497,44.0952381,46.63414634,43.68131868,43.94565217,48.94520548,45.260196558
"Qwen2.5-Coder-3B-Instruct","Qwen","Coder","Open",40.32911392,42.86138614,48.66,45.90769231,42.56944444,48.04761905,46.21176471,39.64210526,44.49473684,45.8902439,44.461410657
"StarCoder2-16B","StarCoder","Coder","Open",43.66197183,39,38.74444444,46.1147541,35.25675676,40.94736842,39.97142857,46.80487805,34.7,50.62857143,41.58301736
"Qwen2.5-3B-Instruct","Qwen","General","Open",40.40540541,44.38043478,49.82828283,28.12307692,42.01333333,47.28571429,47.875,39.91397849,28.35416667,46.87654321,41.505593593
"Granite-Code-34B","Other","Coder","Open",38.65384615,38.64646465,40.36144578,46.35185185,33.25531915,48,39.68571429,46.27956989,36.35135135,44.83116883,41.241673194
"Llama-3-8B","Meta","General","Open",38.87671233,41.44791667,43.7311828,41.28813559,37.73426573,42.41176471,42.30263158,39.69736842,35.62857143,43.77922078,40.689777004
"OpenCoder-1.5B","Other","Coder","Open",37.41891892,39.60416667,37.27272727,44.29090909,38.3902439,41.7,39.91044776,42.03409091,41.94444444,43.67105263,40.623700159
"Mistral-7B-Instruct","Mistral","General","Open",38.05194805,38.80612245,43.37362637,44.89090909,38.71323529,38.6,40.17333333,36.09589041,39.07865169,35.49230769,39.327602437
"Yi-6B","01-AI","General","Open",32.93243243,33.60465116,38.78409091,40.53571429,35.51449275,40.58823529,39.08433735,38.49438202,34.5505618,42.30434783,37.639324583
